"cellID","lon","lat","proj_coord_x","proj_coord_y","cover_N","cover_area","cover_cells_survey","cover_cells_transect1","cover_cells_transect2","cover_cells_transect3","cover_cells_transect4","image_quality_score","year","gear","transect_location","depth","depth2","slope","logslope","tpi","distance2canyons","distance2canyons2","seafloorcurrents_mean","seafloorcurrents_residual","seafloorsalinity","seafloortemperature","npp_mean","log.flux.mean","sed.mean","cover_points_scorable"
"4091297",-69.7125991506223,-66.9830210731862,-2376500,878500,30,111.241137997928,"NBP0808","CRS_1069","CRS_1072","CRS_1207","CRS_1208",24.7457368481061,2008,"YOYO","StationF2",0.0257223315907638,-0.319525289443949,-0.577908709796423,-0.402092666350889,-0.00643520482711219,-0.45969884804588,-0.347139025256973,-0.467170077375707,-0.856487657601813,0.0437949998268814,-0.750594687914441,0.0316014708847686,-0.742559063014521,0.505107733079926,3218
"3851216",-67.2844271789757,-65.9738825744289,-2442500,1022500,30,105.310202151438,"NBP0808","CRS_1091","CRS_1217","CRS_1219",NA,28.5374884005797,2008,"YOYO","StationE2",-0.031820434179538,-0.396427662623498,-0.444481958673496,-0.0398032367688397,0.116816234223865,-0.568179747432376,-0.177012446928596,-0.654327732480075,-0.649277954209542,-0.0015053924658555,-0.724367676808788,0.283036045896401,-0.90343382472467,-0.391100115549928,3209
"3624461",-65.3838481027722,-64.8000201097074,-2528500,1158500,51,183.361847930111,"NBP0808","CRS_1130","CRS_1132","CRS_1255","CRS_1267",27.9645777614882,2008,"YOYO","StationB2",-0.0228662246597926,-0.384615370123285,-0.331702418393823,0.170581514683417,0.0603022415515673,-0.478071633818433,-0.319730103482747,-0.727114886211604,-0.408110114551839,0.303719465992153,-0.840148199838445,0.734157325859229,-0.684422785325705,0.654105067715659,5430
"3627795",-65.4213161375843,-64.8073310693774,-2528500,1156500,1,4.0936852989297,"NBP0808","CRS_1132",NA,NA,NA,28.6273682641964,2008,"YOYO","StationB2",-0.162006030174484,-0.561737654214164,-0.325706297335721,0.180272095583105,-0.0120451922436311,-0.483274873894752,-0.31186372857812,-0.822524787354983,-0.27065423631002,0.274917714697147,-0.844261439334023,0.748824499429,-0.710130137975435,0.582942161620981,106
"4091298",-69.6969058653634,-66.9996248522116,-2374500,878500,2,7.2415138066462,"CRS","CRS_1207",NA,NA,NA,26.5516272797909,2009,"YOYO","StationF3",-0.0164105064422016,-0.376063742009728,-0.484327172872504,-0.130924270475673,-0.125931659212512,-0.454127384748372,-0.355337488973825,-0.503287938784807,-0.843637337142495,0.0450990161256711,-0.7604512762287,0.0522662877388488,-0.891730719323894,0.133726316898324,213
"3851217",-67.2677039822001,-65.990153662212,-2440500,1022500,2,7.250609913911,"CRS","CRS_1217",NA,NA,NA,27.4875860098538,2009,"YOYO","StationE3",-0.0236073085160727,-0.385595145548609,-0.239555626976822,0.307229037679604,-0.624232548687084,-0.563032140301288,-0.185536491665387,-0.656312472698776,-0.661053404484071,-0.00771364397531068,-0.73522663536551,0.277708648954037,-0.633450278510409,0.834236173767813,215
"3624462",-65.3666750323554,-64.8159873033048,-2526500,1158500,6,19.5178349160666,"CRS","CRS_1267",NA,NA,NA,26.3319114551672,2009,"YOYO","StationB3",0.0367850803127334,-0.304471210582982,-0.510590229920339,-0.197669860162708,0.450574036874091,-0.4756201935582,-0.32342032599464,-0.690685715631463,-0.452475960852049,0.311543563784892,-0.841891185860745,0.737722672463716,-0.743911692999915,0.485093165740798,643
"3627796",-65.4041624402813,-64.8233034858791,-2526500,1156500,1,3.2771783698203,"CRS","CRS_1267",NA,NA,NA,21.7740365292964,2009,"YOYO","StationB3",-0.113079107415692,-0.501021335729114,-0.27045216885011,0.264128261124643,-0.0629786666066569,-0.480794887807034,-0.315618754173979,-0.806755171411222,-0.294542937802922,0.285718371432774,-0.847730589920666,0.756931750656556,-0.742772390754246,0.496212369818091,107
"3487806",-63.1504080903928,-65.1046556671657,-2450500,1240500,16,46.5330200601695,"NBP1001","CRS_1276","CRS_1278",NA,NA,26.5165858170554,2010,"YOYO","Flandres_InnerB",-0.171574545401429,-0.573413095729099,0.392073932875482,0.87841820888359,-3.1289849107733,-0.162941721763041,-0.710515025554936,-0.779459438072258,-0.842717299576943,-0.488442087342165,-1.0999966497885,-0.853629266389857,-1.34780522094901,-0.62682724198855,1717
"3481136",-63.1137196554623,-65.057394344694,-2454500,1244500,16,49.9638596102621,"NBP1001","CRS_1279","CRS_1280",NA,NA,27.7731149490127,2010,"YOYO","Flandres_InnerA",-0.0894394417057007,-0.47107661113485,0.932981164600297,1.16043848104684,-3.80143736704051,-0.159325737414924,-0.71402138084949,-0.674883572145856,-0.875262365855085,-0.513331789740802,-1.10171008035196,-0.803358364512804,-1.3045645818296,-0.595693470572128,1727
"3491133",-63.3188245808032,-65.0026931668919,-2464500,1238500,14,25.1330392830051,"NBP1001","CRS_1281","CRS_1282",NA,NA,27.8380533215402,2010,"YOYO","Flandres_Mouth",-0.0144116084806305,-0.373409879714218,1.88361499806115,1.48951830439068,-5.62460378836987,-0.188882293655151,-0.68471067702179,-0.412349776513713,-0.23921106558577,-0.333490933229461,-1.20686950338462,-0.848079869301654,-0.147371560581871,2.54659360167101,1504
"3431116",-62.7491077850878,-64.7809786194132,-2474500,1274500,15,27.2186042328141,"NBP1001","CRS_1283","CRS_1284",NA,NA,25.8243028450923,2010,"YOYO","Andvord_Outer",0.366511089372566,0.18410266811331,0.0336307514864911,0.60821793911186,-1.01793671950111,-0.110521708159999,-0.759175172485061,-0.654986184607737,-0.899635712957932,0.397665335865827,-1.09873158182409,-0.715069027824137,-1.02853169817995,0.0203104353099304,1607
"3424454",-62.5622104645239,-64.8584577069816,-2462500,1278500,12,21.8490071425903,"NBP1001","CRS_1285","CRS_1286",NA,NA,20.7700001512287,2010,"YOYO","Andvord_Inner",0.499405540963934,0.402842842180689,0.850205000960903,1.1235757112904,-2.70373095863964,-0.0851522772344469,-0.781050816875285,-0.738575497863143,-0.86014684083454,1.2197909158919,-0.935153436239885,NA,NA,NA,1280
